PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW;2016 MAN;2016 VROUW;2017 MAN;2017 VROUW;
Gelderland;0200;APELDOORN;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;propedeuse bachelor;5;3;6;3;1;1;2;3;5;3;
Gelderland;0200;APELDOORN;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;master;2;0;0;0;0;0;3;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;bachelor;1;5;1;2;1;4;2;6;5;10;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;propedeuse bachelor;164;107;146;92;117;75;139;95;198;125;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;bachelor;3;2;4;4;4;3;5;8;10;5;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;propedeuse bachelor;99;34;100;39;97;31;92;42;107;44;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;bachelor;0;0;0;0;1;0;0;0;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;propedeuse bachelor;3;38;9;24;6;23;3;22;6;27;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;bachelor;0;0;0;0;0;0;0;1;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;propedeuse bachelor;9;33;14;22;10;15;4;25;6;18;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;bachelor;0;1;0;2;0;1;0;1;1;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;propedeuse bachelor;79;286;69;238;61;197;160;424;88;265;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;bachelor;0;0;1;0;2;2;3;7;5;4;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;propedeuse bachelor;45;28;46;21;41;20;42;17;40;25;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;bachelor;0;1;0;0;0;1;0;0;0;1;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;propedeuse bachelor;7;154;5;105;6;73;1;52;7;97;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;bachelor;0;1;0;0;0;1;0;1;0;0;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;propedeuse bachelor;17;48;17;38;12;36;12;37;13;41;
Gelderland;0268;NIJMEGEN;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;bachelor;1;0;0;0;2;0;0;0;1;1;
